477,Bucklands Beach
478,Huntington Park
479,Manurewa East
480,Conifer Grove
481,Eastern Beach
482,Howick
483,Botany Downs
484,Northpark
485,East Tamaki Heights
486,Totara Park
487,The Gardens
488,Randwick Park
489,Dannemora
490,Shamrock Park
491,Alfriston
492,Pahurehure
493,Rosehill
494,Cockle Bay
495,Somerville
496,Rakino Island
497,Shelly Park
498,Opaheke
499,Drury
500,Brookby
501,Ardmore
502,Red Hill
503,Beachlands
504,Waiheke Island
505,Sunkist Bay
506,Clevedon
507,Pohutukawa Bay
508,Hunua
509,Oneroa Bay
510,Surfdale
511,Maraetai
512,Palm Beach
513,Ostend
514,Omiha
515,Onetangi
516,Ness Valley
517,Cosseys Reservoir
518,Kawakawa Bay
519,Wairoa Reservoir
520,Mangatangi Reservoir
521,Orere Point
522,Whakatiwai
525,Westhaven
526,Shoal Bay
527,Whangapoua Harbour
528,Kaiaua
529,Island Bay
530,Middlemore Hospital
531,Lion Rock
534,Nihotupu
535,Orakei Basin
536,Stonefields
537,Ngataringa Bay
538,Slipper Island (Whakahau)
540,Fletcher Bay
541,Thames
542,Chelsea Bay
543,Rangitoto Island
544,Motutapu Island
545,Administration Bay
546,Tairua Harbour
547,Torbay
548,Wai O Taiki Bay
549,Auckland
550,Whenuapai
551,Te Mata Bay
552,Upper Mangatawhiri Reservoir
